# Created by Octave 2.1.71, Fri May 18 13:50:58 2007 EDT <peter@koala>
# name: V
# type: matrix
# rows: 180
# columns: 2
 3983.05358119191 -80
 3974.41696113074 -79
 3965.206022187 -78
 3955.38186157518 -77
 3944.94503481129 -76
 3933.77952755906 -75
 3921.92307692308 -74
 3909.36990027199 -73
 3895.92367525523 -72
 3881.82977615825 -71
 3866.73913043478 -70
 3850.81395348837 -69
 3834.00573613767 -68
 3816.2389380531 -67
 3797.39825581395 -66
 3777.55813953488 -65
 3756.84971098266 -64
 3734.84168865435 -63
 3711.71658554848 -62
 3687.49676584735 -61
 3662.07897240723 -60
 3635.45561665357 -59
 3607.6160437991 -58
 3578.47628657921 -57
 3548.125 -56
 3516.44673636621 -55
 3483.44086021505 -54
 3449.20280712821 -53
 3413.63560732113 -52
 3376.7049640414 -51
 3338.4878995012 -50
 3299.08163265306 -49
 3258.261136085 -48
 3216.24463519313 -47
 3172.91038054492 -46
 3128.51427897097 -45
 3082.8892733564 -44
 3036.03956555469 -43
 2988.24324324324 -42
 2939.52595936795 -41
 2889.8793407887 -40
 2838.86503067485 -39
 2787.52873563218 -38
 2734.98671537695 -37
 2681.95652173913 -36
 2628.30945558739 -35
 2574.39101373932 -34
 2520 -33
 2464.82484076433 -32
 2409.81481481481 -31
 2353.92857142857 -30
 2298.15928038613 -29
 2242.89687924016 -28
 2186.79869524697 -27
 2131.91275167785 -26
 2076.76441596846 -25
 2021.47728998937 -24
 1966.95343761368 -23
 1912.86209101567 -22
 1859.24983620878 -21
 1806.1396791683 -20
 1753.79595220399 -19
 1702.08233506691 -18
 1651.24515128006 -17
 1601.09013398295 -16
 1551.83765991802 -15
 1503.39187393203 -14
 1455.95894825031 -13
 1409.4018887723 -12
 1363.90756302521 -11
 1319.48149654331 -10
 1276.11103462518 -9
 1233.56474040948 -8
 1192.18579428652 -7
 1151.92108667529 -6
 1112.69718155997 -5
 1074.42022571365 -4
 1037.43261405212 -3
 1001.39873083025 -2
 966.418748567499 -1
 932.593636574253 0
 899.525946156847 1
 867.795334541729 2
 836.984246956799 3
 807.163789642714 4
 778.1362384578 5
 750.231560891938 6
 723.242074927954 7
 697.22369731165 8
 671.94558221182 9
 647.740129640542 10
 624.072724190541 11
 601.568844907012 12
 579.676796291527 13
 558.425166249244 14
 538.151220359593 15
 518.580786026201 16
 499.741000877963 17
 481.658431130327 18
 464.358985725685 19
 447.218065205772 20
 431.226178759953 21
 415.424117171354 22
 400.485384337784 23
 386.096820940132 24
 372.272727272727 25
 358.856575886137 26
 345.926968606663 27
 333.529581966987 28
 321.606341512859 29
 310.132077564375 30
 299.115684093437 31
 288.495012967215 32
 278.277255314984 33
 268.469387755102 34
 259.006294964029 35
 249.929577464789 36
 241.172523480585 37
 232.739799671779 38
 224.67251075091 39
 216.865292825214 40
 209.395240489994 41
 202.155419086821 42
 195.222844408891 43
 188.56368111269 44
 182.143471406048 45
 175.927178937496 46
 169.992092474912 47
 164.265398976761 48
 158.749002720291 49
 153.444746036788 50
 148.316370785867 51
 143.403439191732 52
 138.631164012985 53
 134.077235575761 54
 129.666408443885 55
 125.438154323381 56
 121.355114794186 57
 117.418214313466 58
 113.628346977269 59
 109.986376021798 60
 106.454285129883 61
 103.071591507282 62
 99.7611149594622 63
 96.6403526758253 64
 93.592911793158 65
 90.6582961746069 66
 87.7978001976691 67
 85.0902841699144 68
 82.4577433736711 69
 79.9004804392588 70
 77.458205792324 71
 75.0918836140888 72
 72.8017876436499 73
 70.5881832655227 74
 68.4513274336283 75
 66.391468597513 76
 64.4088466308392 77
 62.4639829048046 78
 60.6364836507295 79
 58.8471091486132 80
 57.0959630820202 81
 55.4229964881821 82
 53.8284056369163 83
 52.2724670016684 84
 50.755271344625 85
 49.276907269458 86
 47.8774596523131 87
 46.5170688785851 88
 45.1958147078603 89
 43.9137746824423 90
 42.6710241160579 91
 41.4676360828722 92
 40.3036814068162 93
 39.1792286512291 94
 38.0943441088182 95
 37.0490917919396 96
 36.043533423202 97
 35.0374765771393 98
 34.111463704879 99
