# name: rvst
# type: matrix
# rows: 180
# columns: 2
-80	3558000 
-79 	3296000 
-78 	3055000 
-77 	2833000 
-76 	2629000 
-75 	2440000 
-74 	2266000 
-73 	2106000 
-72 	1957000 
-71 	1821000 
-70 	1694000 
-69 	1577000 
-68 	1469000 
-67 	1369000 
-66 	1276000 
-65 	1190000 
-64 	1111000 
-63 	1037000 
-62 	968400 
-61 	904900 
-60 	845900 
-59 	791100 
-58 	740200 
-57 	692800 
-56 	648800 
-55 	607800 
-54 	569600 
-53 	534100 
-52 	501000 
-51 	470100 
-50 	441300 
-49 	414500 
-48 	389400 
-47 	366000 
-46 	344100 
-45 	323700 
-44 	304600 
-43 	286700 
-42 	270000 
-41 	254400 
-40 	239800 
-39 	226000 
-38 	213200 
-37 	201100 
-36 	189800 
-35 	179200 
-34 	169300 
-33 	160000 
-32 	151200 
-31 	143000 
-30 	135200 
-29 	127900 
-28 	121100 
-27 	114600 
-26 	108600 
-25 	102900 
-24 	97490 
-23 	92430 
-22 	87660 
-21 	83160 
-20 	78910 
-19 	74910 
-18 	71130 
-17 	67570 
-16 	64200 
-15 	61020 
-14 	58010 
-13 	55170 
-12 	52480 
-11 	49940 
-10 	47540 
-9 	45270 
-8 	43110 
-7 	41070 
-6 	39140 
-5 	37310 
-4 	35570 
-3 	33930 
-2 	32370 
-1 	30890 
0 	29490 
1 	28150 
2 	26890 
3 	25690 
4 	24550 
5 	23460 
6 	22430 
7 	21450 
8 	20520 
9 	19630 
10 	18790 
11 	17980 
12 	17220 
13 	16490 
14 	15790 
15 	15130 
16 	14500 
17 	13900 
18 	13330 
19 	12790 
20	12260 
21 	11770 
22 	11290 
23 	10840 
24 	10410 
25 	10000
26 	9605   
27 	9227   
28 	8867   
29 	8523   
30	8194   
31 	7880   
32 	7579   
33 	7291   
34 	7016   
35 	6752   
36 	6500   
37 	6258   
38 	6026   
39	5805   
40 	5592 
41 	5389 
42 	5193 
43 	5006 
44 	4827 
45 	4655 
46 	4489 
47 	4331 
48 	4179 
49 	4033 
50 	3893 
51 	3758 
52 	3629 
53 	3504 
54 	3385 
55 	3270 
56 	3160 
57 	3054 
58 	2952 
59 	2854 
60 	2760 
61 	2669 
62 	2582 
63 	2497 
64 	2417 
65 	2339 
66 	2264 
67 	2191 
68 	2122 
69 	2055 
70 	1990 
71 	1928 
72 	1868 
73 	1810 
74 	1754 
75 	1700 
76 	1648 
77 	1598 
78 	1549 
79 	1503 
80 	1458 
81 	1414 
82 	1372 
83 	1332 
84 	1293 
85 	1255 
86 	1218 
87 	1183 
88 	1149 
89 	1116 
90 	1084 
91 	1053 
92 	1023 
93 	994 
94 	966 
95 	939 
96 	913 
97 	888 
98 	863 
99 	840 
